                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                  1.125,                 1.1264,                  1.786,                0.90991,                0.62092,                0.72637,                0.60389,                 1.2556,                 1.2898,                 1.3292,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.1363,                 1.1461,                  1.811,                0.88497,                0.59721,                0.69958,                  0.575,                 1.3141,                 1.4068,                 1.3346,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.0962,                 1.1141,                 1.8075,                0.91653,                0.60431,                0.70924,                0.58727,                 1.2669,                 1.3828,                 1.3338,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.1152,                 1.1038,                 1.7815,                0.88975,                0.65537,                0.72476,                0.60302,                 1.2017,                 1.4285,                 1.3167,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.1142,                 1.1303,                 1.7945,                0.87454,                0.63133,                0.71972,                0.59294,                 1.2208,                 1.4158,                 1.3086,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.0906,                 1.1046,                 1.7999,                0.86525,                0.66059,                0.72591,                0.59319,                 1.2617,                 1.4058,                 1.3229,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.3268,                 1.2013,                 1.7679,                0.93212,                0.58446,                0.72958,                0.59029,                 1.2123,                 1.4839,                  1.271,               0.000109,               0.000109,               0.000109
                     92,                 1.2884,                 1.0823,                 1.7295,                0.90608,                0.64728,                0.72847,                 0.5961,                 1.2092,                 1.3982,                 1.2689,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.2725,                0.99719,                 1.7324,                0.86604,                0.63425,                 0.7146,                0.59058,                 1.2115,                 1.3651,                 1.2625,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.2616,                 1.0232,                 1.7314,                0.94189,                0.66109,                 0.7364,                0.61296,                 1.1715,                 1.3631,                 1.2468,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.2708,                 1.0078,                 1.7297,                0.92337,                0.65462,                0.73242,                0.61027,                 1.1816,                 1.3676,                 1.2479,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.2202,                 1.0026,                 1.7217,                0.96071,                0.57388,                  0.721,                0.59984,                 1.1962,                 1.4536,                 1.2549,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.2315,                 1.0049,                 1.7268,                0.86167,                0.63574,                0.72169,                0.60957,                 1.1608,                 1.3985,                 1.2542,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.2077,                 0.9522,                  1.726,                0.86592,                 0.6289,                0.72461,                0.59725,                 1.1813,                  1.418,                  1.245,               3.97e-05,               3.97e-05,               3.97e-05
